No,大区分,区分,活動手法,概要
1,森林,森林（天然林）,巡視,盗掘の防⽌や、外来種の侵⼊、病⾍獣害の影響がないことを確認するため、森林内の巡視を⾏う。
2,森林,森林（天然林）,保護区や立入禁止区域の設置,⽴ち⼊り禁⽌区域の設定や⽴⼊り⼈数の上限等を設定した区域を設ける等のゾーニングを実施する。
3,森林,森林（天然林）,歩道の適正管理,歩道は利⽤者が歩く場所を限定する役割を持たせるなど、⽣物多様性の確保や⾃然環境の保全に資するよう整備する。
4,森林,森林（天然林）,松くい虫被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
5,森林,森林（天然林）,ナラ枯れ被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
6,森林,森林（天然林）,外来カミキリムシ被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
7,森林,森林（天然林）,その他森林病虫害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
8,森林,森林（天然林）,天然更新,遺伝的攪乱の防⽌に配慮し、採取地が明らかな種苗の植栽、播種する。
9,森林,森林（天然林）,植栽,遺伝的攪乱の防⽌に配慮し、採取地が明らかな種苗の植栽、播種する。
10,森林,森林（天然林）,播種,遺伝的攪乱の防⽌に配慮し、採取地が明らかな種苗の植栽、播種する。
11,森林,森林（天然林）,立入禁止区域の設置,シカの⾷害等懸念される地域においては、防護柵を設置する。⽴ち⼊り禁⽌区域の設定や⽴⼊り⼈数の上限等を設定した区域を設ける等の ゾーニングを実施する。
